Date,Price,Open,High,Low,Vol.,Change %
04/21/2023,$165.08,$164.80,$166.00,$161.32," 12,27,40,000 ",1.28%
04/20/2023,$162.99,$166.16,$169.70,$160.56," 21,09,70,000 ",-9.75%
04/19/2023,$180.59,$179.10,$183.50,$177.65," 11,40,00,000 ",-2.02%
04/18/2023,$184.31,$187.15,$187.69,$183.58," 9,14,60,000 ",-1.46%
04/17/2023,$187.04,$186.32,$189.69,$182.69," 11,66,60,000 ",1.10%
04/14/2023,$185.00,$183.95,$186.28,$182.01," 9,64,40,000 ",-0.48%
04/13/2023,$185.90,$182.96,$186.50,$180.94," 11,23,30,000 ",2.97%
04-12-2023,$180.54,$190.74,$191.58,$180.31," 14,92,50,000 ",-3.35%
04-11-2023,$186.79,$186.69,$189.19,$185.65," 11,51,80,000 ",1.24%
04-10-2023,$184.51,$179.94,$185.10,$176.11," 14,15,60,000 ",-0.30%
04-06-2023,$185.06,$183.08,$186.39,$179.74," 12,38,60,000 ",-0.25%
04-05-2023,$185.52,$190.51,$190.68,$183.76," 13,32,00,000 ",-3.67%
04-04-2023,$192.58,$197.32,$198.74,$190.32," 12,59,00,000 ",-1.12%
04-03-2023,$194.77,$199.91,$202.69,$192.20," 16,86,00,000 ",-6.12%
03/31/2023,$207.46,$197.53,$207.79,$197.20," 17,02,20,000 ",6.24%
03/30/2023,$195.28,$195.58,$197.33,$194.42," 10,96,10,000 ",0.72%
03/29/2023,$193.88,$193.13,$195.29,$189.44," 12,36,60,000 ",2.48%
03/28/2023,$189.19,$192.00,$192.35,$185.43," 9,81,80,000 ",-1.37%
03/27/2023,$191.81,$194.41,$197.39,$189.94," 12,02,50,000 ",0.74%
03/24/2023,$190.41,$191.65,$192.36,$187.15," 11,65,30,000 ",-0.94%
03/23/2023,$192.22,$195.26,$199.31,$188.65," 14,33,60,000 ",0.56%
03/22/2023,$191.15,$199.30,$200.66,$190.95," 14,90,70,000 ",-3.25%
03/21/2023,$197.58,$188.28,$198.00,$188.04," 15,25,70,000 ",7.82%
03/20/2023,$183.25,$178.08,$186.44,$176.35," 12,93,10,000 ",1.73%
03/17/2023,$180.13,$184.51,$186.22,$177.33," 13,32,00,000 ",-2.17%
03/16/2023,$184.13,$180.37,$185.81,$178.84," 12,13,70,000 ",2.04%
03/15/2023,$180.45,$180.80,$182.34,$176.03," 14,46,00,000 ",-1.53%
03/14/2023,$183.26,$177.31,$183.80,$177.14," 14,26,60,000 ",5.03%
03/13/2023,$174.48,$167.46,$177.35,$163.91," 16,77,90,000 ",0.60%
03-10-2023,$173.44,$175.13,$178.29,$168.44," 19,14,90,000 ",0.30%
03-09-2023,$172.92,$180.25,$185.18,$172.51," 16,75,00,000 ",-4.99%
03-08-2023,$182.00,$185.04,$186.50,$180.00," 15,19,00,000 ",-3.04%
03-07-2023,$187.71,$191.38,$194.20,$186.10," 14,81,30,000 ",-3.15%
03-06-2023,$193.81,$198.54,$198.60,$192.30," 12,81,00,000 ",-2.01%
03-03-2023,$197.79,$194.79,$200.48,$192.88," 15,34,40,000 ",3.61%
03-02-2023,$190.90,$186.74,$193.75,$186.01," 18,08,60,000 ",-5.85%
03-01-2023,$202.77,$206.21,$207.20,$198.52," 14,56,40,000 ",-1.43%
02/28/2023,$205.71,$210.59,$211.23,$203.75," 15,31,40,000 ",-0.92%
02/27/2023,$207.63,$202.03,$209.42,$201.26," 16,10,30,000 ",5.46%
02/24/2023,$196.88,$196.32,$197.67,$192.80," 14,22,30,000 ",-2.57%
02/23/2023,$202.07,$203.91,$205.14,$196.33," 14,63,60,000 ",0.60%
02/22/2023,$200.86,$197.93,$201.99,$191.78," 19,18,30,000 ",1.77%
02/21/2023,$197.37,$204.99,$209.71,$197.22," 18,00,20,000 ",-5.25%
02/17/2023,$208.31,$199.99,$208.44,$197.50," 21,37,40,000 ",3.10%
02/16/2023,$202.04,$210.78,$217.65,$201.84," 22,55,00,000 ",-5.69%
02/15/2023,$214.24,$211.76,$214.66,$206.11," 18,01,70,000 ",2.38%
02/14/2023,$209.25,$191.94,$209.82,$189.44," 21,64,60,000 ",7.51%
02/13/2023,$194.64,$194.41,$196.30,$187.61," 17,19,00,000 ",-1.14%
02-10-2023,$196.89,$202.23,$206.20,$192.89," 20,47,50,000 ",-5.03%
02-09-2023,$207.32,$207.77,$214.00,$204.77," 21,33,00,000 ",3.00%
02-08-2023,$201.29,$196.10,$203.00,$194.31," 17,96,00,000 ",2.28%
02-07-2023,$196.81,$196.43,$197.50,$189.55," 18,52,10,000 ",1.05%
02-06-2023,$194.76,$193.01,$198.17,$189.92," 18,53,60,000 ",2.52%
02-03-2023,$189.98,$183.95,$199.00,$183.69," 23,26,60,000 ",0.91%
02-02-2023,$188.27,$187.32,$196.75,$182.61," 21,50,10,000 ",3.78%
02-01-2023,$181.41,$173.89,$183.80,$169.93," 21,04,70,000 ",4.73%
01/31/2023,$173.22,$164.57,$174.30,$162.78," 19,68,10,000 ",3.94%
01/30/2023,$166.66,$178.05,$179.77,$166.50," 22,89,70,000 ",-6.32%
01/27/2023,$177.90,$162.43,$180.68,$161.17," 30,65,90,000 ",11.00%
01/26/2023,$160.27,$159.96,$161.42,$154.76," 23,31,50,000 ",10.97%
01/25/2023,$144.43,$141.90,$146.41,$138.07," 17,69,70,000 ",0.38%
01/24/2023,$143.89,$143.00,$146.50,$141.10," 15,60,10,000 ",0.10%
01/23/2023,$143.75,$135.87,$145.38,$134.27," 20,10,50,000 ",7.74%
01/20/2023,$133.42,$128.68,$133.51,$127.35," 13,88,60,000 ",4.91%
01/19/2023,$127.17,$127.26,$129.99,$124.31," 16,93,40,000 ",-1.25%
01/18/2023,$128.78,$136.55,$136.68,$127.01," 19,56,80,000 ",-2.06%
01/17/2023,$131.49,$125.69,$131.70,$125.02," 18,52,10,000 ",7.43%
01/13/2023,$122.40,$116.55,$122.63,$115.60," 18,07,10,000 ",-0.94%
01-12-2023,$123.56,$122.56,$124.13,$117.00," 16,88,00,000 ",0.28%
01-11-2023,$123.22,$122.09,$125.95,$120.51," 18,31,90,000 ",3.68%
01-10-2023,$118.85,$121.07,$122.76,$114.92," 16,64,80,000 ",-0.77%
01-09-2023,$119.77,$118.96,$123.52,$117.11," 18,93,40,000 ",5.93%
01-06-2023,$113.06,$103.00,$114.39,$101.81," 22,09,10,000 ",2.47%
01-05-2023,$110.34,$110.51,$111.75,$107.16," 15,72,40,000 ",-2.90%
01-04-2023,$113.64,$109.11,$114.59,$107.52," 17,95,20,000 ",5.12%
01-03-2023,$108.10,$118.47,$118.80,$104.64," 23,00,40,000 ",-12.24%
12/30/2022,$123.18,$119.95,$124.48,$119.75," 15,77,80,000 ",1.12%
12/29/2022,$121.82,$120.39,$123.57,$117.50," 21,90,30,000 ",8.08%
12/28/2022,$112.71,$110.35,$116.27,$108.24," 21,92,80,000 ",3.31%
12/27/2022,$109.10,$117.50,$119.67,$108.76," 20,30,40,000 ",-11.41%
12/23/2022,$123.15,$126.37,$128.62,$121.02," 16,69,90,000 ",-1.76%
12/22/2022,$125.35,$136.00,$136.63,$122.26," 20,50,80,000 ",-8.88%
12/21/2022,$137.57,$139.34,$141.26,$135.89," 14,45,20,000 ",-0.17%
12/20/2022,$137.80,$146.05,$148.47,$137.66," 15,63,80,000 ",-8.05%
12/19/2022,$149.87,$154.00,$155.25,$145.82," 13,88,70,000 ",-0.24%
12/16/2022,$150.23,$159.63,$160.99,$150.04," 13,90,30,000 ",-4.72%
12/15/2022,$157.67,$153.44,$160.93,$153.28," 12,15,30,000 ",0.55%
12/14/2022,$156.80,$159.25,$161.62,$155.31," 14,06,80,000 ",-2.58%
12/13/2022,$160.95,$174.87,$175.05,$156.91," 17,50,70,000 ",-4.09%
12-12-2022,$167.82,$176.10,$177.37,$167.52," 10,87,10,000 ",-6.27%
12-09-2022,$179.05,$173.84,$182.50,$173.36," 10,48,70,000 ",3.23%
12-08-2022,$173.44,$172.20,$175.20,$169.06," 9,72,40,000 ",-0.34%
12-07-2022,$174.04,$175.03,$179.38,$172.22," 8,37,00,000 ",-3.21%
12-06-2022,$179.82,$181.21,$183.65,$175.33," 9,18,70,000 ",-1.44%
12-05-2022,$182.45,$189.44,$191.27,$180.55," 9,24,60,000 ",-6.37%
12-02-2022,$194.86,$191.78,$196.25,$191.11," 7,36,50,000 ",0.08%
12-01-2022,$194.70,$197.08,$198.92,$191.80," 8,00,50,000 ",0.00%
11/30/2022,$194.70,$182.43,$194.76,$180.63," 10,91,90,000 ",7.67%
11/29/2022,$180.83,$184.99,$186.38,$178.75," 8,33,60,000 ",-1.14%
11/28/2022,$182.92,$179.96,$188.50,$179.00," 9,30,40,000 ",0.03%
11/25/2022,$182.86,$185.06,$185.20,$180.63," 5,06,70,000 ",-0.19%
11/23/2022,$183.20,$173.57,$183.62,$172.50," 10,95,40,000 ",7.82%
11/22/2022,$169.91,$168.63,$170.92,$166.18," 7,84,50,000 ",1.22%
11/21/2022,$167.87,$175.85,$176.77,$167.54," 9,28,80,000 ",-6.84%
11/18/2022,$180.19,$185.05,$185.19,$176.55," 7,60,50,000 ",-1.63%
11/17/2022,$183.17,$183.96,$186.16,$180.90," 6,43,40,000 ",-2.01%
11/16/2022,$186.92,$191.51,$192.57,$185.66," 6,65,70,000 ",-3.86%
11/15/2022,$194.42,$195.88,$200.82,$192.06," 9,12,90,000 ",1.82%
11/14/2022,$190.95,$192.77,$195.73,$186.34," 9,22,30,000 ",-2.56%
11-11-2022,$195.97,$186.00,$196.52,$182.59," 11,44,00,000 ",2.75%
11-10-2022,$190.72,$189.90,$191.00,$180.03," 13,27,00,000 ",7.39%
11-09-2022,$177.59,$190.77,$195.89,$177.12," 12,70,60,000 ",-7.17%
11-08-2022,$191.30,$194.02,$195.20,$186.75," 12,88,00,000 ",-2.93%
11-07-2022,$197.08,$208.65,$208.90,$196.66," 9,39,20,000 ",-5.01%
11-04-2022,$207.47,$222.60,$223.80,$203.08," 9,86,20,000 ",-3.64%
11-03-2022,$215.31,$211.36,$221.20,$210.14," 5,65,40,000 ",0.15%
11-02-2022,$214.98,$226.04,$227.87,$214.82," 6,30,70,000 ",-5.64%
11-01-2022,$227.82,$234.05,$237.40,$227.28," 6,26,90,000 ",0.12%
10/31/2022,$227.54,$226.19,$229.85,$221.94," 6,15,50,000 ",-0.43%
10/28/2022,$228.52,$225.40,$228.86,$216.35," 6,91,50,000 ",1.52%
10/27/2022,$225.09,$229.77,$233.81,$222.85," 6,16,40,000 ",0.20%
10/26/2022,$224.64,$219.40,$230.60,$218.20," 8,53,30,000 ",1.00%
10/25/2022,$222.41,$210.10,$224.35,$210.00," 9,65,10,000 ",5.29%
10/24/2022,$211.25,$205.82,$213.50,$198.59," 10,04,50,000 ",-1.49%
10/21/2022,$214.44,$206.41,$214.66,$203.80," 7,57,10,000 ",3.45%
10/20/2022,$207.28,$208.28,$215.55,$202.00," 11,78,00,000 ",-6.65%
10/19/2022,$222.04,$219.80,$222.93,$217.78," 6,65,70,000 ",0.84%
10/18/2022,$220.19,$229.50,$229.82,$217.25," 7,58,90,000 ",0.38%
10/17/2022,$219.35,$210.04,$221.86,$209.45," 7,94,30,000 ",7.01%
10/14/2022,$204.99,$224.01,$226.26,$204.16," 9,41,30,000 ",-7.55%
10/13/2022,$221.72,$208.30,$222.99,$206.22," 9,14,80,000 ",2.06%
10-12-2022,$217.24,$215.33,$219.30,$211.51," 6,68,60,000 ",0.34%
10-11-2022,$216.50,$220.95,$225.75,$215.00," 7,70,10,000 ",-2.90%
10-10-2022,$222.96,$223.93,$226.99,$218.36," 6,79,30,000 ",-0.05%
10-07-2022,$223.07,$233.93,$234.57,$222.02," 8,39,20,000 ",-6.32%
10-06-2022,$238.13,$239.44,$244.58,$235.35," 6,93,00,000 ",-1.11%
10-05-2022,$240.81,$245.01,$246.67,$233.27," 8,69,80,000 ",-3.46%
10-04-2022,$249.44,$250.52,$257.50,$242.01," 10,95,80,000 ",2.90%
10-03-2022,$242.40,$254.50,$255.16,$241.01," 9,83,60,000 ",-8.61%
09/30/2022,$265.25,$266.14,$275.57,$262.47," 6,77,30,000 ",-1.10%
09/29/2022,$268.21,$282.76,$283.65,$265.78," 7,76,20,000 ",-6.81%
09/28/2022,$287.81,$283.08,$289.00,$277.57," 5,46,70,000 ",1.72%
09/27/2022,$282.94,$283.84,$288.67,$277.51," 6,19,30,000 ",2.51%
09/26/2022,$276.01,$271.83,$284.09,$270.31," 5,80,80,000 ",0.25%
09/23/2022,$275.33,$283.09,$284.50,$272.82," 6,37,50,000 ",-4.59%
09/22/2022,$288.59,$299.86,$301.29,$285.82," 7,05,50,000 ",-4.06%
09/21/2022,$300.80,$308.29,$313.80,$300.63," 6,25,60,000 ",-2.57%
09/20/2022,$308.73,$306.91,$313.33,$305.58," 6,16,40,000 ",-0.11%
09/19/2022,$309.07,$300.09,$309.84,$297.80," 6,02,30,000 ",1.89%
09/16/2022,$303.35,$299.61,$303.71,$295.60," 8,70,90,000 ",-0.13%
09/15/2022,$303.75,$301.83,$309.12,$300.72," 6,48,00,000 ",0.38%
09/14/2022,$302.61,$292.24,$306.00,$291.64," 7,26,30,000 ",3.59%
09/13/2022,$292.13,$292.90,$297.40,$290.40," 6,82,30,000 ",-4.04%
09-12-2022,$304.42,$300.72,$305.49,$300.40," 4,86,80,000 ",1.58%
09-09-2022,$299.68,$291.67,$299.85,$291.24," 5,44,70,000 ",3.60%
09-08-2022,$289.26,$281.30,$289.50,$279.76," 5,37,10,000 ",1.96%
09-07-2022,$283.70,$273.10,$283.84,$272.27," 5,00,30,000 ",3.38%
09-06-2022,$274.42,$272.67,$275.99,$265.74," 5,58,60,000 ",1.56%
09-02-2022,$270.21,$281.07,$282.35,$269.08," 5,08,90,000 ",-2.51%
09-01-2022,$277.16,$272.58,$277.58,$266.15," 5,42,90,000 ",0.56%
08/31/2022,$275.61,$280.62,$281.25,$271.81," 5,21,10,000 ",-0.75%
08/30/2022,$277.70,$287.86,$288.48,$272.65," 5,05,40,000 ",-2.50%
08/29/2022,$284.82,$282.83,$287.74,$280.70," 4,18,70,000 ",-1.14%
08/26/2022,$288.09,$297.43,$302.00,$287.47," 5,71,60,000 ",-2.70%
08/25/2022,$296.07,$302.36,$302.96,$291.60," 5,32,30,000 ",-0.35%
08/24/2022,$297.10,$297.56,$303.65,$296.50," 5,72,60,000 ",0.22%
08/23/2022,$296.45,$291.45,$298.83,$287.92," 6,39,90,000 ",2.26%
08/22/2022,$289.91,$291.91,$292.40,$286.30," 5,58,40,000 ",-2.28%
08/19/2022,$296.67,$299.00,$300.36,$292.50," 6,14,00,000 ",-2.05%
08/18/2022,$302.87,$306.00,$306.50,$301.85," 4,75,00,000 ",-0.37%
08/17/2022,$304.00,$303.40,$309.66,$300.03," 6,87,70,000 ",-0.84%
08/16/2022,$306.56,$311.67,$314.67,$302.88," 8,81,40,000 ",-0.89%
08/15/2022,$309.32,$301.79,$313.13,$301.23," 8,93,60,000 ",3.10%
08-12-2022,$300.03,$289.41,$300.16,$285.03," 7,96,60,000 ",4.68%
08-11-2022,$286.63,$296.51,$298.24,$285.83," 7,01,60,000 ",-2.62%
08-10-2022,$294.36,$297.07,$297.51,$283.37," 9,49,20,000 ",3.89%
08-09-2022,$283.33,$290.29,$292.40,$279.35," 8,62,50,000 ",-2.44%
08-08-2022,$290.42,$295.00,$305.20,$289.09," 9,93,70,000 ",0.78%
08-05-2022,$288.17,$302.67,$304.61,$285.54," 11,31,70,000 ",-6.63%
08-04-2022,$308.63,$311.00,$313.61,$305.00," 7,22,60,000 ",0.40%
08-03-2022,$307.40,$305.00,$309.55,$301.15," 8,00,90,000 ",2.27%
08-02-2022,$300.59,$294.00,$307.83,$292.67," 9,55,80,000 ",1.11%
08-01-2022,$297.28,$301.27,$311.88,$295.00," 11,70,40,000 ",0.04%
07/29/2022,$297.15,$280.70,$298.32,$279.10," 9,53,10,000 ",5.78%
07/28/2022,$280.90,$280.07,$283.30,$272.80," 8,47,20,000 ",2.21%
07/27/2022,$274.82,$263.81,$275.93,$261.79," 8,81,10,000 ",6.17%
07/26/2022,$258.86,$266.51,$267.31,$256.26," 6,68,20,000 ",-3.57%
07/25/2022,$268.43,$272.22,$274.15,$267.40," 6,40,70,000 ",-1.40%
07/22/2022,$272.24,$276.22,$280.79,$270.71," 10,34,70,000 ",0.20%
07/21/2022,$271.71,$255.11,$273.27,$254.87," 14,20,30,000 ",9.78%
07/20/2022,$247.50,$246.78,$250.66,$243.48," 8,88,60,000 ",0.80%
